id_prov,nama_prov,,,,
1,ACEH,,,,
2,BALI,,,,
3,KEP. BANGKA BELITUNG,,,,
4,BANTEN,,,,
5,BENGKULU,,,,
6,GORONTALO,,,,
7,PAPUA BARAT,,,,
8,DKI JAKARTA,,,,
9,JAMBI,,,,
10,JAWA BARAT,,,,
11,JAWA TENGAH,,,,
12,JAWA TIMUR,,,,
13,KALIMANTAN BARAT,,,,
14,KALIMANTAN SELATAN,,,,
15,KALIMANTAN TENGAH,,,,
16,KALIMANTAN TIMUR,,,,
17,KALIMANTAN UTARA,,,,
18,KEP. RIAU,,,,
19,LAMPUNG,,,,
20,MALUKU UTARA,,,,
21,MALUKU,,,,
22,NUSA TENGGARA BARAT,,,,
23,NUSA TENGGARA TIMUR,,,,
24,PAPUA,,,,
25,RIAU,,,,
26,SULAWESI BARAT,,,,
27,SULAWESI SELATAN,,,,
28,SULAWESI TENGAH,,,,
29,SULAWESI TENGGARA,,,,
30,SULAWESI UTARA,,,,
31,SUMATERA BARAT,,,,
32,SUMATERA SELATAN,,,,
33,SUMATERA UTARA,,,,
34,DI YOGYAKARTA,,,,
